":START_ID",":END_ID",":TYPE","position_status","Value:double","shares:long","share_value:double"
"2146","1506","OWNS","current","4.67E8","7711308","60.56041336"
"2146","2123","OWNS","current","6.88E8","11767054","58.46833031"
"2146","2124","OWNS","current","8.86E9","67681783","130.9067168"
"2147","28","OWNS","current","9.75E10","569291690","171.2654544"
"2147","271","OWNS","current","9.11E10","288457142","315.8181467"
"2147","372","OWNS","current","4.23E10","332449318","127.2374395"
"2147","417","OWNS","current","6.35E9","178570402","35.56020443"
"2147","593","OWNS","current","1.68E9","104108802","16.1369641"
"2147","973","OWNS","current","3.86E10","88686291","435.242015"
"2147","1456","OWNS","current","8.87E9","33681164","263.3519435"
"2147","2123","OWNS","current","2.57E9","43975005","58.44229011"
"2148","28","OWNS","current","1.0E10","58554915","170.7798568"
"2148","271","OWNS","current","2.05E10","64911721","315.8135339"
"2148","372","OWNS","current","1.09E10","85885107","126.9137384"
"2148","417","OWNS","current","1.23E9","34564037","35.58612092"
"2148","593","OWNS","current","2.71E8","16817880","16.11380269"
"2148","973","OWNS","current","4.59E9","10544759","435.2873309"
"2148","1456","OWNS","current","3.18E9","12087607","263.0793672"
"2148","2123","OWNS","current","9.4349004E7","1613907","58.46000048"
"2149","28","OWNS","current","1.03E10","60334422","170.7151516"
"2149","271","OWNS","current","1.13E10","35862559","315.0918483"
"2149","372","OWNS","current","4.44E9","34949945","127.0388265"
"2149","417","OWNS","current","3.77E8","10594227","35.58541836"
"2149","593","OWNS","current","1.8618995E7","1154308","16.13000603"
"2149","973","OWNS","current","2.21E9","5084980","434.6133121"
"2149","1456","OWNS","current","2.11E9","8002862","263.6556772"
"2149","2123","OWNS","current","2.13E8","3647865","58.39031872"
